,LAG1,LAG2,LAG180,LAG365,MA3,MA5,MA7,MA30,MAP7-3,M-X,M-Y,DE-TREND,DATE
2562932,-5.5070348143949435,-10.673586071991602,7.291401186913877,-13.520581468468379,-6.377405184765313,-6.551363849769382,-5.768708758159694,-6.02214345861653,-6.823918086505232,True,False,-2.9515946679093936,2011-12-21
2562933,-2.9515946679093936,-5.5070348143949435,7.8468413333994285,-4.40958576642727,-2.618261334576061,-5.662590369950498,-5.022792421197953,-6.014851460279129,-6.800223971765713,True,False,0.603845478576158,2011-12-22
2562934,0.603845478576158,-2.9515946679093936,9.402281479884977,-9.798590064386167,-0.3961545214238444,-3.4738168901316144,-4.4276697350298635,-6.026077980460245,-6.411450491946831,True,False,1.159285625061706,2011-12-23
2562935,1.159285625061706,0.603845478576158,9.846610515259421,-15.354261029011727,-1.1555291897531095,-2.3850434103127323,-4.626197842512568,-6.020637833974695,-5.768708758159694,True,False,-5.229718672897189,2011-12-24
2562936,-5.229718672897189,1.159285625061706,9.402050661744962,-14.632154215859511,-4.211200154378672,-2.99626993049385,-4.451710076979399,-6.018901391192851,-5.022792421197953,True,False,-8.56316741530053,2011-12-25
2562937,-8.56316741530053,-5.229718672897189,9.179713030452739,-14.743380736040626,-7.415019267152381,-4.096385339563855,-4.134365168589087,-6.120868652114708,-4.4276697350298635,True,False,-8.452171713259423,2011-12-26
2562938,-8.452171713259423,-8.56316741530053,7.29070873249384,-17.74349614511063,-7.304023565111277,-5.196500748633862,-4.047178990357507,-6.285798875999529,-4.626197842512567,True,False,-4.896731566773873,2011-12-27
2562939,-4.896731566773873,-8.452171713259423,7.790593323423838,-16.354722665291746,-7.4893241593664674,-7.252171713259424,-4.928246780379894,-6.656284655439904,-4.451710076979399,True,False,-9.119069198066102,2011-12-28
2562940,-9.119069198066102,-4.896731566773873,7.901589025464947,-14.910393629917312,-8.730180309177214,-8.641176011218317,-6.753759014846726,-6.797140805250651,-4.1343651685890865,True,False,-12.174740162691663,2011-12-29
2562941,-12.174740162691663,-9.119069198066102,8.23480694972827,-13.577175705653985,-10.359925347876848,-8.88573586473277,-8.317366487408794,-6.725033992098434,-4.047178990357506,True,False,-9.785966682872777,2011-12-30
2562942,-9.785966682872777,-12.174740162691663,8.623580429547154,-9.355068892501771,-8.508188905095002,-7.908073496024995,-8.07938665838356,-6.465890141909182,-4.928246780379894,True,False,-3.563859869720563,2011-12-31
2562943,-3.563859869720563,-9.785966682872777,8.95679835381048,-3.521850968238443,-6.9712672771279705,-8.441522238428334,-7.936644924596424,-6.334524069497706,-6.7537590148467235,True,False,-7.563975278790567,2012-01-01
2562944,-7.563975278790567,-3.563859869720563,9.1789051669627,-2.077521932864002,-6.119530834346125,-8.063859869720563,-7.762157159063255,-6.242046885975119,-8.317366487408794,True,False,-7.230757354527238,2012-01-02
2562945,-7.230757354527238,-7.563975278790567,9.289900869003805,-10.52208178637845,-10.582609206379091,-9.019530834346122,-9.484494790355482,-6.6662363691192,-8.079386658383564,True,False,-16.953094985819465,2012-01-03
2562946,-16.953094985819465,-7.230757354527238,8.90089657104491,-14.077752751004015,-14.193835726560208,-10.741868465638351,-10.810007024822314,-7.220055481892909,-7.936644924596425,True,False,-18.397654839333917,2012-01-04
2562947,-18.397654839333917,-16.953094985819465,8.567447828641562,-12.744534826740685,-15.601358543037621,-12.319761652486132,-10.706947830717715,-7.56646718725921,-7.7621571590632525,True,False,-11.45332580395948,2012-01-05
2562948,-11.45332580395948,-18.397654839333917,7.56733241957156,-10.63353912469958,-13.305177655811333,-12.819877061556138,-10.746745779470261,-7.901767781514402,-9.484494790355484,True,False,-10.064552324140598,2012-01-06
2562949,-10.064552324140598,-11.45332580395948,9.456105899390447,-12.411432311547365,-9.120107879696151,-12.542214692848367,-11.072258013937091,-7.737068375769593,-10.810007024822315,True,False,-5.84244551098838,2012-01-07
2562950,-5.84244551098838,-10.064552324140598,10.289323823653774,-9.744881053950701,-6.546149214692085,-9.89788565747393,-10.524754375388053,-7.56866526632108,-10.706947830717718,True,False,-3.7314498089472767,2012-01-08
2562951,-3.7314498089472767,-5.84244551098838,12.1225417479171,-17.24499646302071,-4.1573757348732014,-6.798001066543937,-9.905822165410438,-7.4021140087244195,-10.74674577947026,True,False,-2.8982318846839483,2012-01-09
